出版社	城市	类型	出版社编号（ISBN）	备注
求真出版社			80258	
北京旅游出版社	北京市		80500	
北京美术摄影出版社	北京市	美术出版社／摄影出版社	80501	
辽宁古籍出版社	沈阳市		80507	
上海翻译出版公司	上海市		80514	
福建省地图出版社	福州市	地图出版社	80516	
德宏民族出版社	芒市		80525	
北京工艺美术出版社	北京市	美术出版社	80526	
山东省地图出版社	济南市	地图出版社	80532	
海南人民出版社	海口市		80541	
蜀蓉棋艺出版社	成都市		80548	
书海出版社	太原市		80550	（山西人民出版社的副牌）
湖南地图出版社	长沙市	地图出版社	80552	
文津出版社	北京市		80554	
黄河出版社	济南市		80558	曾用出版社编号80152
三环出版社	海口市		80564	（海南出版社的副牌）
海南摄影美术出版社	海口市		80571	
成都出版社	成都市		80575	
敦煌文艺出版社	兰州市		80587	
甘肃人民美术出版社	兰州市	美术出版社	80588	
藏文古籍出版社	拉萨市		80589	
陕西摄影出版社	西安市		80591	
宁夏人民教育出版社	银川市	教育出版社	80596	
海风出版社	福州市		80597	
山西古籍出版社	太原市	古籍出版社	80598	
辽宁画报出版社	沈阳市		80601	
海南国际新闻出版中心	海口市		80609	
宁夏少年儿童出版社	银川市	少儿出版社	80620	曾用出版社编号80602
广西接力出版社	南宁市		80631	
泰山出版社	济南市		80634	
江苏古籍出版社	南京市	古籍出版社	80643	曾用出版社编号80519
贵州教育出版社	贵阳市	教育出版社	80650	曾用出版社编号80583
羊城晚报出版社	广州市	媒体出版社（羊城晚报报业集团）	80651	
南方日报出版社	广州市		80652	
贵州科学技术出版社	贵阳市	科技出版社	80662	曾用出版社编号80584
中国书店、中国书店出版社			80663	曾用出版社编号80568
西安地图出版社	西安市	地图出版社	80670	曾用出版社编号80545
